# Opus Dictionary - LLM-generated transliterations
# Format: Thai<TAB>Romanization
# This file is auto-generated from corpus test failures
# and filled in by Claude Opus
กฎระเบียบ	gòt-rá~bìiap
กรณี	gɔɔ-rá~nii
กระดาน	grà~daan
กระตือรือร้น	grà~dtʉʉ-rʉʉ-rón
กระตุ้น	grà~dtûn
กระทู้	grà~túu
กระบวนการ	grà~buuan-gaan
กริช	grìt
กลับ	glàp
กักบริเวณ	gàk-bɔɔ-rí~ween
กานต์	gaan
การงาน	gaan-ngaan
การบ้าน	gaan-bâan
การพัฒนา	gaan-pát-tá~naa
กำลัง	gam-lang
กินกัน	gin-gan
กินข้าว	gin-kâao
กีตาร์	gii-dtâa
ก็ดี	gɔ̂ɔ-dii
ก็แล้วไป	gɔ̂ɔ-lɛ́ɛo-bpai
ขวนขวาย	kwǒn-kwǎai
ของ	kɔ̌ɔng
ขอบคุณ	kɔ̀ɔp-kun
ขออนุญาต	kɔ̌ɔ-à~nú~yâat
ขี้	kîi
ขึ้นชื่อว่า	kʉ̂n-chʉ̂ʉ-wâa
ขึ้นไป	kʉ̂n-bpai
ข้างล่าง	kâang-lâang
ข้างหน้า	kâang-nâa
ข้างๆ คูๆ	kâang-kâang-kuu-kuu
ข้าว	kâao
คงไว้	kong-wái
คณิตศาสตร์	ká~nít-dtà~sàat
คนละ	kon-lá
คนอื่น	kon-ʉ̀ʉn
คนเก่ง	kon-gèng
คนเดียว	kon-diiao
ครับ	kráp
ครั้งนี้	kráng-níi
คลาส	kláat
คล้ายๆ	kláai-kláai
ความภาคภูมิใจ	kwaam-pâak-puum-jai
ความยุติธรรม	kwaam-yút-dtì~tam
ความเป็นระเบียบเรียบร้อย	kwaam-bpen-rá~bìiap-rîiap-rɔ́i
คะ	ká
คะแนน	ká~nɛɛn
คัดสรร	kát-sǎn
คัพ	káp
คาบ	kâap
คำนวณ	kam-nuuan
คำบรรยาย	kam-ban-yaai
คิด	kít
คิดมาก	kít-mâak
คุณ	kun
คุณครู	kun-kruu
คุณหมอ	kun-mɔ̌ɔ
ค่ะ	kâ
จ.	jɔɔ
จบเรื่อง	jòp-rʉ̂ʉang
จริงๆ	jing-jing
จะ	jà
จังหวะ	jang-wà
จำเป็น	jam-bpen
จิ	jì
จินดา	jin-daa
จ้องหน้า	jɔ̂ng-nâa
ฉัน	chǎn
ชัย	chai
